actor_ID,gender,emotion,emotional_intensity,statement,mfcc_profile,mean_centroid,std_centroid,mean_bandwidth,std_bandwidth
01,male,neutral,normal,kids,"[0.12481823563575745, 0.8486425280570984, 0.7911666631698608, 0.7980291247367859, 0.7940148115158081, 0.7990054488182068, 0.7847844362258911, 0.7904789447784424, 0.784025251865387, 0.7859682440757751, 0.7795735597610474, 0.7884168028831482, 0.7890007495880127, 0.7855921983718872, 0.7896836400032043, 0.7880637049674988, 0.7851375341415405, 0.7897392511367798, 0.7888277769088745, 0.7854613661766052]",2209.120007900547,1468.5445664677725,3048.1947277837644,793.0488462160419
01,male,neutral,normal,kids,"[0.1315358281135559, 0.8612182140350342, 0.7998146414756775, 0.8096510767936707, 0.8069484233856201, 0.8100138902664185, 0.7943816781044006, 0.8024706244468689, 0.7937849760055542, 0.794673502445221, 0.79056715965271, 0.7993566989898682, 0.7997586131095886, 0.7961047887802124, 0.7997052669525146, 0.7980458736419678, 0.7957693338394165, 0.7998729348182678, 0.7988713979721069, 0.7957090735435486]",2257.995318501253,1558.3375683158677,3157.482578560611,823.5902784409311
01,male,neutral,normal,kids,"[0.130624920129776, 0.8541483879089355, 0.7947355508804321, 0.8015404939651489, 0.797752857208252, 0.799979567527771, 0.7884119749069214, 0.7951183915138245, 0.7857309579849243, 0.7887035012245178, 0.7829650640487671, 0.7907853722572327, 0.7914902567863464, 0.7887587547302246, 0.7923979163169861, 0.7915184497833252, 0.7880200147628784, 0.7907063364982605, 0.792065441608429, 0.788015604019165]",2417.7110437526576,1871.4472304336127,3064.8814170273154,802.7470249705465
01,male,neutral,normal,kids,"[0.13487887382507324, 0.8622286319732666, 0.8060824275016785, 0.8116052150726318, 0.8070187568664551, 0.8107935786247253, 0.7988653182983398, 0.8051117658615112, 0.7942410707473755, 0.7967451214790344, 0.7925301194190979, 0.8004459142684937, 0.8015950918197632, 0.7994654774665833, 0.800911545753479, 0.8006289005279541, 0.7973816394805908, 0.8010216951370239, 0.801232099533081, 0.798460066318512]",2587.723900968945,1979.4824251009895,3324.8362866093566,734.5542113968181
01,male,calm,normal,kids,"[0.1394844502210617, 0.8667871952056885, 0.8080031871795654, 0.8141332864761353, 0.8091338872909546, 0.81378573179245, 0.7996739745140076, 0.8061010241508484, 0.7970476150512695, 0.8018551468849182, 0.7940270900726318, 0.8017951250076294, 0.8032658100128174, 0.8008306622505188, 0.8024898171424866, 0.8025133013725281, 0.799523651599884, 0.803774356842041, 0.8037853837013245, 0.7994644045829773]",1953.027746298437,1531.4333646674138,2988.0254010495364,521.6071046431074
01,male,calm,normal,kids,"[0.13070040941238403, 0.8606288433074951, 0.7983784079551697, 0.8003785610198975, 0.7969289422035217, 0.803774356842041, 0.788033127784729, 0.7936846613883972, 0.785147488117218, 0.7901127338409424, 0.784075915813446, 0.789859414100647, 0.7930130958557129, 0.7899191379547119, 0.7911211252212524, 0.7906234264373779, 0.7883015871047974, 0.7913954257965088, 0.7925105094909668, 0.7882766127586365]",2108.4333203551582,1611.988945903203,3134.0390701802075,691.5867218427796
01,male,calm,normal,kids,"[0.1566246747970581, 0.8713271617889404, 0.805938720703125, 0.8130939602851868, 0.8070799708366394, 0.8122190237045288, 0.7987583875656128, 0.8074360489845276, 0.7956513166427612, 0.8010042905807495, 0.7939459085464478, 0.8006301522254944, 0.8032722473144531, 0.8001441955566406, 0.8037307262420654, 0.8005759119987488, 0.7990486025810242, 0.8035054206848145, 0.8022459149360657, 0.7973256707191467]",2280.344850076832,1881.1780395919075,2990.999969060186,582.0565084427885
01,male,calm,normal,kids,"[0.15172536671161652, 0.8638391494750977, 0.7994711399078369, 0.8028785586357117, 0.799933671951294, 0.8042808175086975, 0.790160059928894, 0.7986663579940796, 0.7869051694869995, 0.7916606664657593, 0.7861074209213257, 0.7916392683982849, 0.793904185295105, 0.7915573716163635, 0.7943272590637207, 0.7923856377601624, 0.7902835011482239, 0.7944360375404358, 0.7940552234649658, 0.7894904613494873]",2308.578662041092,1932.9330414938643,3077.8281616405593,748.8415853581029
01,male,calm,strong,dogs,"[0.16140678524971008, 0.8788231015205383, 0.8182761073112488, 0.821405291557312, 0.8163377642631531, 0.8226772546768188, 0.8072660565376282, 0.8139402270317078, 0.8045522570610046, 0.8117273449897766, 0.803641140460968, 0.8100398182868958, 0.8111583590507507, 0.8113371133804321, 0.810490608215332, 0.8097789883613586, 0.8074760437011719, 0.8121044039726257, 0.8104116320610046, 0.8096000552177429]",1846.1472162517414,1144.405797417312,3151.4037046991857,527.1931211401177
01,male,calm,strong,dogs,"[0.1558101326227188, 0.8762304186820984, 0.8086098432540894, 0.8151559233665466, 0.8089374899864197, 0.8171723484992981, 0.7994657158851624, 0.8092899918556213, 0.7961588501930237, 0.8047621846199036, 0.7972095608711243, 0.8040103912353516, 0.8069493174552917, 0.804022490978241, 0.8051509857177734, 0.8025937080383301, 0.8022269606590271, 0.8055353760719299, 0.8048797249794006, 0.8017369508743286]",2245.027142692982,1805.9062930383834,3238.8703307689157,569.0066712757286
